t, v
'0:0:21.52,0.35
'0:0:21.53,0.37
'0:0:21.54,0.35
'0:0:21.55,0.37
'0:0:21.56,0.35
'0:0:21.57,0.37
'0:0:21.58,0.34
'0:0:21.59,0.37
'0:0:21.6,0.35
'0:0:21.61,0.37
'0:0:21.62,0.35
'0:0:21.63,0.37
'0:0:21.64,0.35
'0:0:21.65,0.37
'0:0:21.66,0.35
'0:0:21.67,0.37
'0:0:21.68,0.35
'0:0:21.69,0.37
'0:0:21.7,0.35
'0:0:21.71,0.37
'0:0:21.72,0.34
'0:0:21.73,0.37
'0:0:21.74,0.35
'0:0:21.75,0.37
'0:0:21.76,0.35
'0:0:21.77,0.37
'0:0:21.78,0.35
'0:0:21.79,0.37
'0:0:21.8,0.35
'0:0:21.81,0.37
'0:0:21.82,0.35
'0:0:21.83,0.37
'0:0:21.84,0.35
'0:0:21.85,0.37
'0:0:21.86,0.35
'0:0:21.87,0.37
'0:0:21.88,0.35
'0:0:21.89,0.37
'0:0:21.9,0.35
'0:0:21.91,0.37
'0:0:21.92,0.35
'0:0:21.93,0.37
'0:0:21.94,0.35
'0:0:21.95,0.37
'0:0:21.96,0.35
'0:0:21.97,0.37
'0:0:21.98,0.35
'0:0:21.99,0.37
'0:0:22.0,0.35
'0:0:22.01,0.37
'0:0:22.02,0.35
'0:0:22.03,0.37
'0:0:22.04,0.35
'0:0:22.05,0.37
'0:0:22.06,0.35
'0:0:22.07,0.37
'0:0:22.08,0.35
'0:0:22.09,0.37
'0:0:22.1,0.35
'0:0:22.11,0.37
'0:0:22.12,0.35
'0:0:22.13,0.37
'0:0:22.14,0.35
'0:0:22.15,0.37
'0:0:22.16,0.35
'0:0:22.17,0.37
'0:0:22.18,0.35
'0:0:22.19,0.37
'0:0:22.2,0.35
'0:0:22.21,0.37
'0:0:22.22,0.35
'0:0:22.23,0.37
'0:0:22.24,0.35
'0:0:22.25,0.37
'0:0:22.26,0.35
'0:0:22.27,0.37
'0:0:22.28,0.35
'0:0:22.29,0.37
'0:0:22.3,0.35
'0:0:22.31,0.37
'0:0:22.32,0.35
'0:0:22.33,0.37
'0:0:22.34,0.35
'0:0:22.35,0.37
'0:0:22.36,0.35
'0:0:22.37,0.37
'0:0:22.38,0.35
'0:0:22.39,0.37
'0:0:22.4,0.35
'0:0:22.41,0.37
'0:0:22.42,0.35
'0:0:22.43,0.37
'0:0:22.44,0.35
'0:0:22.45,0.37
'0:0:22.46,0.35
'0:0:22.47,0.37
