Serie N.º 1	Serie N.º 1	Serie N.º 1	Serie N.º 1	Serie N.º 1	Serie N.º 1	Serie N.º 1	Serie N.º 1
Tiempo (s)	ángulo (rad)	Vector velocidad angular (rad/s)	Aceleración angular (rad/s²)	Posición (m)	Vector velocidad (m/s)	Aceleración (m/s²)	Intensidad luminosa (%)
12,240	29,810	-3,491	-21,817	0,7117	-0,083	-0,521	0,2
12,280	29,653	-4,145	-8,181	0,7079	-0,099	-0,195	0,2
12,320	29,479	-4,145	8,181	0,7038	-0,099	0,195	0,2
12,360	29,322	-3,491	10,908	0,7000	-0,083	0,260	0,1
12,400	29,199	-3,272	-5,454	0,6971	-0,078	-0,130	0,2
12,440	29,060	-3,927	-13,635	0,6937	-0,094	-0,326	0,2
12,480	28,885	-4,363	-10,908	0,6896	-0,104	-0,260	0,2
12,520	28,711	-4,800	-16,362	0,6854	-0,115	-0,391	0,1
12,560	28,501	-5,672	-13,635	0,6804	-0,135	-0,326	0,2
12,600	28,257	-5,890	5,454	0,6746	-0,141	0,130	0,3
12,640	28,030	-5,236	16,362	0,6692	-0,125	0,391	0,4
12,680	27,838	-4,581	2,727	0,6646	-0,109	0,065	0,6
12,720	27,663	-5,018	-16,362	0,6604	-0,120	-0,391	0,5
12,760	27,437	-5,890	-19,090	0,6550	-0,141	-0,456	0,3
12,800	27,192	-6,545	-2,727	0,6492	-0,156	-0,065	0,2
12,840	26,913	-6,109	13,635	0,6425	-0,146	0,326	0,2
12,880	26,704	-5,454	5,454	0,6375	-0,130	0,130	0,1
12,920	26,477	-5,672	0,000	0,6321	-0,135	-1,735E-14	0,1
12,960	26,250	-5,454	5,454	0,6267	-0,130	0,130	0,1
13,000	26,040	-5,236	5,454	0,6217	-0,125	0,130	0,1
13,040	25,831	-5,018	5,454	0,6167	-0,120	0,130	0,1
13,080	25,639	-4,800	2,727	0,6121	-0,115	0,065	0,1
13,120	25,447	-4,800	10,908	0,6075	-0,115	0,260	0,1
13,160	25,255	-3,927	27,271	0,6029	-0,094	0,651	0,1
13,200	25,133	-2,618	24,544	0,6000	-0,062	0,586	0,1
13,240	25,045	-1,963	8,181	0,5979	-0,047	0,195	0,1
13,280	24,976	-1,963	-2,727	0,5962	-0,047	-0,065	0,1
13,320	24,888	-2,182	-8,181	0,5942	-0,052	-0,195	0,1
