Serie N.º 1;Serie N.º 1;Serie N.º 1;Serie N.º 1;Serie N.º 1;Serie N.º 1;Serie N.º 1;Serie N.º 1
Tiempo (s);Intensidad relativa (%);ángulo (rad);Vector velocidad angular (rad/s);Aceleración angular (rad/s²);Posición (m);Vector velocidad (m/s);Aceleración (m/s²)
2,920;61,60;-4,381;-1,309;-10,908;-0,1046;-0,031;-0,260
2,940;61,70;-4,416;-1,745;-10,908;-0,1054;-0,042;-0,260
2,960;61,79;-4,451;-1,745;5,551E-13;-0,1062;-0,042;8,674E-15
2,980;61,85;-4,485;-1,745;-5,551E-13;-0,1071;-0,042;-8,674E-15
3,000;61,94;-4,520;-1,745;0,000;-0,1079;-0,042;0,000
3,020;62,04;-4,555;-1,745;-10,908;-0,1087;-0,042;-0,260
3,040;62,13;-4,590;-2,182;-43,633;-0,1096;-0,052;-1,042
3,060;62,27;-4,643;-3,491;-43,633;-0,1108;-0,083;-1,042
3,080;62,39;-4,730;-3,927;10,908;-0,1129;-0,094;0,260
3,100;62,56;-4,800;-3,054;32,725;-0,1146;-0,073;0,781
3,120;62,68;-4,852;-2,618;0,000;-0,1158;-0,062;0,000
3,140;62,87;-4,904;-3,054;-10,908;-0,1171;-0,073;-0,260
3,160;63,00;-4,974;-3,054;10,908;-0,1187;-0,073;0,260
3,180;63,24;-5,027;-2,618;0,000;-0,1200;-0,062;0,000
3,200;63,43;-5,079;-3,054;-10,908;-0,1212;-0,073;-0,260
3,220;63,66;-5,149;-3,054;10,908;-0,1229;-0,073;0,260
3,240;63,97;-5,201;-2,618;10,908;-0,1242;-0,062;0,260
3,260;64,17;-5,253;-2,618;-10,908;-0,1254;-0,062;-0,260
3,280;64,44;-5,306;-3,054;-10,908;-0,1267;-0,073;-0,260
3,300;64,67;-5,376;-3,054;21,817;-0,1283;-0,073;0,521
3,320;65,08;-5,428;-2,182;21,817;-0,1296;-0,052;0,521
3,340;65,35;-5,463;-2,182;-10,908;-0,1304;-0,052;-0,260
3,360;65,68;-5,515;-2,618;-10,908;-0,1317;-0,062;-0,260
3,380;65,94;-5,568;-2,618;-10,908;-0,1329;-0,062;-0,260
3,400;66,28;-5,620;-3,054;-21,817;-0,1342;-0,073;-0,521
3,420;66,56;-5,690;-3,491;-10,908;-0,1358;-0,083;-0,260
3,440;66,94;-5,760;-3,491;-10,908;-0,1375;-0,083;-0,260
3,460;67,25;-5,829;-3,927;-21,817;-0,1392;-0,094;-0,521
3,480;67,71;-5,917;-4,363;-21,817;-0,1412;-0,104;-0,521
3,500;68,01;-6,004;-4,800;-10,908;-0,1433;-0,115;-0,260
3,520;68,31;-6,109;-4,800;21,817;-0,1458;-0,115;0,521
3,540;68,78;-6,196;-3,927;32,725;-0,1479;-0,094;0,781
3,560;69,22;-6,266;-3,491;0,000;-0,1496;-0,083;0,000
3,580;69,73;-6,336;-3,927;-10,908;-0,1512;-0,094;-0,260
3,600;70,08;-6,423;-3,927;5,551E-13;-0,1533;-0,094;0,000
3,620;70,42;-6,493;-3,927;-21,817;-0,1550;-0,094;-0,521
3,640;70,86;-6,580;-4,800;-21,817;-0,1571;-0,115;-0,521
3,660;71,12;-6,685;-4,800;21,817;-0,1596;-0,115;0,521
3,680;71,38;-6,772;-3,927;32,725;-0,1617;-0,094;0,781
3,700;71,64;-6,842;-3,491;10,908;-0,1633;-0,083;0,260
3,720;71,86;-6,912;-3,491;-10,908;-0,1650;-0,083;-0,260
3,740;72,16;-6,981;-3,927;-21,817;-0,1667;-0,094;-0,521
3,760;72,39;-7,069;-4,363;-10,908;-0,1687;-0,104;-0,260
3,780;72,56;-7,156;-4,363;-10,908;-0,1708;-0,104;-0,260
3,800;72,73;-7,243;-4,800;-21,817;-0,1729;-0,115;-0,521
3,820;72,84;-7,348;-5,236;-10,908;-0,1754;-0,125;-0,260
3,840;72,99;-7,453;-5,236;-21,817;-0,1779;-0,125;-0,521
3,860;73,21;-7,557;-6,109;-54,542;-0,1804;-0,146;-1,302
3,880;73,28;-7,697;-7,418;-32,725;-0,1837;-0,177;-0,781
3,900;73,36;-7,854;-7,418;21,817;-0,1875;-0,177;0,521
3,920;73,39;-7,994;-6,545;43,633;-0,1908;-0,156;1,042
3,940;73,44;-8,116;-5,672;10,908;-0,1937;-0,135;0,260
3,960;73,36;-8,220;-6,109;-10,908;-0,1962;-0,146;-0,260
3,980;73,24;-8,360;-6,109;32,725;-0,1996;-0,146;0,781
4,000;73,08;-8,465;-4,800;43,633;-0,2021;-0,115;1,042
4,020;72,76;-8,552;-4,363;10,908;-0,2042;-0,104;0,260
4,040;72,45;-8,639;-4,363;-10,908;-0,2062;-0,104;-0,260
4,060;72,13;-8,727;-4,800;-32,725;-0,2083;-0,115;-0,781
4,080;71,70;-8,831;-5,672;-32,725;-0,2108;-0,135;-0,781
4,100;71,34;-8,954;-6,109;-10,908;-0,2137;-0,146;-0,260
4,120;70,81;-9,076;-6,109;0,000;-0,2167;-0,146;0,000
4,140;70,38;-9,198;-6,109;-10,908;-0,2196;-0,146;-0,260
4,160;69,87;-9,320;-6,545;-21,817;-0,2225;-0,156;-0,521
4,180;69,15;-9,460;-6,981;-10,908;-0,2258;-0,167;-0,260
4,200;68,54;-9,599;-6,981;10,908;-0,2292;-0,167;0,260
4,220;67,74;-9,739;-6,545;21,817;-0,2325;-0,156;0,521
4,240;67,13;-9,861;-6,109;-1,110E-12;-0,2354;-0,146;1,735E-14
4,260;66,51;-9,983;-6,545;-10,908;-0,2383;-0,156;-0,260
4,280;65,69;-10,123;-6,545;10,908;-0,2417;-0,156;0,260
4,300;65,12;-10,245;-6,109;21,817;-0,2446;-0,146;0,521
4,320;64,48;-10,367;-5,672;43,633;-0,2475;-0,135;1,042
4,340;63,98;-10,472;-4,363;21,817;-0,2500;-0,104;0,521
4,360;63,33;-10,542;-4,800;-32,725;-0,2517;-0,115;-0,781
4,380;62,94;-10,664;-5,672;-10,908;-0,2546;-0,135;-0,260
4,400;62,49;-10,769;-5,236;-1,110E-12;-0,2571;-0,125;3,469E-14
4,420;62,18;-10,873;-5,672;-43,633;-0,2596;-0,135;-1,042
4,440;61,84;-10,996;-6,981;-43,633;-0,2625;-0,167;-1,042
4,460;61,67;-11,153;-7,418;32,725;-0,2662;-0,177;0,781
4,480;61,50;-11,292;-5,672;87,266;-0,2696;-0,135;2,083
4,500;61,25;-11,380;-3,927;43,633;-0,2717;-0,094;1,042
4,520;61,06;-11,449;-3,927;-54,542;-0,2733;-0,094;-1,302
4,540;60,86;-11,537;-6,109;-65,450;-0,2754;-0,146;-1,562
4,560;60,79;-11,694;-6,545;-10,908;-0,2792;-0,156;-0,260
4,580;60,75;-11,798;-6,545;-32,725;-0,2817;-0,156;-0,781
4,600;60,70;-11,956;-7,854;10,908;-0,2854;-0,187;0,260
4,620;60,69;-12,113;-6,109;109,083;-0,2892;-0,146;2,604
4,640;60,63;-12,200;-3,491;119,991;-0,2912;-0,083;2,865
4,660;60,60;-12,252;-1,309;87,266;-0,2925;-0,031;2,083
4,680;60,57;-12,252;0,000;32,725;-0,2925;0,000;0,781
4,700;60,55;-12,252;0,000;0,000;-0,2925;0,000;0,000
4,720;60,51;-12,252;0,000;0,000;-0,2925;0,000;0,000
4,740;60,50;-12,252;0,000;0,000;-0,2925;0,000;0,000
4,760;60,53;-12,252;0,000;10,908;-0,2925;0,000;0,260
4,780;60,53;-12,252;0,436;10,908;-0,2925;0,010;0,260
4,800;60,56;-12,235;0,436;-10,908;-0,2921;0,010;-0,260
4,820;60,56;-12,235;0,000;-10,908;-0,2921;0,000;-0,260
4,840;60,54;-12,235;0,000;0,000;-0,2921;0,000;0,000
4,860;60,49;-12,235;0,000;0,000;-0,2921;0,000;0,000
4,880;60,53;-12,235;0,000;0,000;-0,2921;0,000;0,000
4,900;60,54;-12,235;0,000;0,000;-0,2921;0,000;0,000
4,920;60,56;-12,235;0,000;0,000;-0,2921;0,000;0,000
4,940;60,53;-12,235;0,000;0,000;-0,2921;0,000;0,000
4,960;60,54;-12,235;0,000;0,000;-0,2921;0,000;0,000
4,980;60,57;-12,235;0,000;0,000;-0,2921;0,000;0,000
5,000;60,61;-12,235;0,000;0,000;-0,2921;0,000;0,000
5,020;60,62;-12,235;0,000;0,000;-0,2921;0,000;0,000
5,040;60,58;-12,235;0,000;0,000;-0,2921;0,000;0,000
5,060;60,56;-12,235;0,000;0,000;-0,2921;0,000;0,000
5,080;60,58;-12,235;0,000;0,000;-0,2921;0,000;0,000
5,100;60,61;-12,235;0,000;0,000;-0,2921;0,000;0,000
5,120;60,64;-12,235;0,000;0,000;-0,2921;0,000;0,000
5,140;60,61;-12,235;0,000;0,000;-0,2921;0,000;0,000
5,160;60,59;-12,235;0,000;0,000;-0,2921;0,000;0,000
5,180;60,61;-12,235;0,000;0,000;-0,2921;0,000;0,000
5,200;60,61;-12,235;0,000;0,000;-0,2921;0,000;0,000
5,220;60,56;-12,235;0,000;0,000;-0,2921;0,000;0,000
5,240;60,58;-12,235;0,000;0,000;-0,2921;0,000;0,000
5,260;60,64;-12,235;0,000;0,000;-0,2921;0,000;0,000
5,280;60,65;-12,235;0,000;0,000;-0,2921;0,000;0,000
5,300;60,62;-12,235;0,000;0,000;-0,2921;0,000;0,000
5,320;60,66;-12,235;0,000;0,000;-0,2921;0,000;0,000
5,340;60,66;-12,235;0,000;0,000;-0,2921;0,000;0,000
5,360;60,68;-12,235;0,000;0,000;-0,2921;0,000;0,000
5,380;60,66;-12,235;0,000;0,000;-0,2921;0,000;0,000
5,400;60,62;-12,235;0,000;0,000;-0,2921;0,000;0,000
5,420;60,64;-12,235;0,000;0,000;-0,2921;0,000;0,000
5,440;60,68;-12,235;0,000;0,000;-0,2921;0,000;0,000
5,460;60,66;-12,235;0,000;0,000;-0,2921;0,000;0,000
5,480;60,64;-12,235;0,000;0,000;-0,2921;0,000;0,000
5,500;60,63;-12,235;0,000;;-0,2921;0,000;
